,Date,snmpreportedmac,variable,value,sort_order,transmission_type,radio_type
113,2020-03-01,F8:2D:C0:BF:96:6D,2.4_Tx_mcs0,8252,0,Tx,2.4
114,2020-03-01,F8:2D:C0:BF:96:75,2.4_Tx_mcs0,4335,0,Tx,2.4
115,2020-03-01,F8:2D:C0:BF:96:79,2.4_Tx_mcs0,4124,0,Tx,2.4
116,2020-03-02,A8:9F:EC:DA:91:3D,2.4_Tx_mcs0,0,0,Tx,2.4
117,2020-03-02,A8:9F:EC:DA:B2:51,2.4_Tx_mcs0,0,0,Tx,2.4
118,2020-03-02,A8:9F:EC:DA:B2:65,2.4_Tx_mcs0,0,0,Tx,2.4
119,2020-03-02,A8:9F:EC:DA:B3:F9,2.4_Tx_mcs0,0,0,Tx,2.4
120,2020-03-02,A8:9F:EC:DA:B5:91,2.4_Tx_mcs0,0,0,Tx,2.4
121,2020-03-02,A8:9F:EC:DA:B6:09,2.4_Tx_mcs0,0,0,Tx,2.4
122,2020-03-02,A8:9F:EC:DA:B9:89,2.4_Tx_mcs0,0,0,Tx,2.4
123,2020-03-02,A8:9F:EC:DA:C4:1D,2.4_Tx_mcs0,0,0,Tx,2.4
124,2020-03-02,A8:9F:EC:FB:EC:2D,2.4_Tx_mcs0,5,0,Tx,2.4
125,2020-03-02,A8:9F:EC:FB:EC:99,2.4_Tx_mcs0,16,0,Tx,2.4
126,2020-03-02,A8:9F:EC:FB:EC:A1,2.4_Tx_mcs0,0,0,Tx,2.4
127,2020-03-02,A8:9F:EC:FB:EC:C5,2.4_Tx_mcs0,0,0,Tx,2.4
128,2020-03-02,A8:9F:EC:FC:22:81,2.4_Tx_mcs0,0,0,Tx,2.4
129,2020-03-02,A8:9F:EC:FC:22:BD,2.4_Tx_mcs0,0,0,Tx,2.4
130,2020-03-02,A8:9F:EC:FC:26:39,2.4_Tx_mcs0,0,0,Tx,2.4
131,2020-03-02,A8:9F:EC:FC:26:59,2.4_Tx_mcs0,0,0,Tx,2.4
132,2020-03-02,A8:9F:EC:FC:26:ED,2.4_Tx_mcs0,0,0,Tx,2.4
133,2020-03-02,A8:9F:EC:FC:26:F5,2.4_Tx_mcs0,0,0,Tx,2.4
134,2020-03-02,A8:9F:EC:FC:26:F9,2.4_Tx_mcs0,4098,0,Tx,2.4
135,2020-03-02,A8:9F:EC:FC:27:11,2.4_Tx_mcs0,0,0,Tx,2.4
136,2020-03-02,A8:9F:EC:FC:27:21,2.4_Tx_mcs0,0,0,Tx,2.4
137,2020-03-02,A8:9F:EC:FC:27:55,2.4_Tx_mcs0,0,0,Tx,2.4
138,2020-03-02,A8:9F:EC:FC:27:E5,2.4_Tx_mcs0,0,0,Tx,2.4
139,2020-03-02,A8:9F:EC:FC:28:D9,2.4_Tx_mcs0,0,0,Tx,2.4
140,2020-03-02,A8:9F:EC:FC:29:11,2.4_Tx_mcs0,0,0,Tx,2.4
141,2020-03-02,A8:9F:EC:FC:29:1D,2.4_Tx_mcs0,0,0,Tx,2.4
142,2020-03-02,A8:9F:EC:FC:29:9D,2.4_Tx_mcs0,0,0,Tx,2.4
143,2020-03-02,A8:9F:EC:FC:29:A5,2.4_Tx_mcs0,5,0,Tx,2.4
144,2020-03-02,A8:9F:EC:FC:29:F5,2.4_Tx_mcs0,0,0,Tx,2.4
145,2020-03-02,A8:9F:EC:FC:2A:01,2.4_Tx_mcs0,1,0,Tx,2.4
146,2020-03-02,A8:9F:EC:FC:30:85,2.4_Tx_mcs0,0,0,Tx,2.4
147,2020-03-02,A8:9F:EC:FC:30:89,2.4_Tx_mcs0,0,0,Tx,2.4
148,2020-03-02,A8:9F:EC:FC:30:95,2.4_Tx_mcs0,5,0,Tx,2.4
149,2020-03-02,A8:9F:EC:FC:30:B5,2.4_Tx_mcs0,0,0,Tx,2.4
150,2020-03-02,A8:9F:EC:FC:30:C1,2.4_Tx_mcs0,0,0,Tx,2.4
