"Timestamp","Current_IP","Current_MAC","Current_Location","2.4_Tx_mcs0","2.4_Tx_mcs1","2.4_Tx_mcs2","2.4_Tx_mcs3","2.4_Tx_mcs4","2.4_Tx_mcs5","2.4_Tx_mcs6","2.4_Tx_mcs7","2.4_Tx_mcs8","2.4_Tx_mcs9","2.4_Tx_mcs10","2.4_Tx_mcs11","2.4_Tx_mcs12","2.4_Tx_mcs13","2.4_Tx_mcs14","2.4_Tx_mcs15","2.4_Tx_mcs16","2.4_Tx_mcs17","2.4_Tx_mcs18","2.4_Tx_mcs19","2.4_Tx_mcs20","2.4_Tx_mcs21","2.4_Tx_mcs22","2.4_Tx_mcs23","5_Tx_mcs0","5_Tx_mcs1","5_Tx_mcs2","5_Tx_mcs3","5_Tx_mcs4","5_Tx_mcs5","5_Tx_mcs6","5_Tx_mcs7","5_Tx_mcs8","5_Tx_mcs9","2.4_Rx_mcs0","2.4_Rx_mcs1","2.4_Rx_mcs2","2.4_Rx_mcs3","2.4_Rx_mcs4","2.4_Rx_mcs5","2.4_Rx_mcs6","2.4_Rx_mcs7","2.4_Rx_mcs8","2.4_Rx_mcs9","2.4_Rx_mcs10","2.4_Rx_mcs11","2.4_Rx_mcs12","2.4_Rx_mcs13","2.4_Rx_mcs14","2.4_Rx_mcs15","2.4_Rx_mcs16","2.4_Rx_mcs17","2.4_Rx_mcs18","2.4_Rx_mcs19","2.4_Rx_mcs20","2.4_Rx_mcs21","2.4_Rx_mcs22","2.4_Rx_mcs23","5_Rx_mcs0","5_Rx_mcs1","5_Rx_mcs2","5_Rx_mcs3","5_Rx_mcs4","5_Rx_mcs5","5_Rx_mcs6","5_Rx_mcs7","5_Rx_mcs8","5_Rx_mcs9"
2020-03-01 00:22:03,2001:0558:4042:0046:AA9F:ECFF:FEDA:B191,A8:9F:EC:DA:B1:91,Italian_Market,0,243957,359562,116134,114911,81116,43554,84308,0,159188,201028,135851,181468,105913,43215,80484,0,0,0,0,2078,119,85,38,1461342,294195,246336,169880,181698,176601,42735,26332,14826,297,578172,347232,425497,6809841,317520,111458,53296,67723,168379,149868,132413,106587,56805,12640,9833,8926,62060,39097,13966,691,187,191,38,4,135368,133900,57277,37496,30758,23409,13903,6339,1673,1114
2020-03-01 00:22:15,2001:0558:4042:0060:76EA:E8FF:FEF2:CDD9,74:EA:E8:F2:CD:D9,Fishtown,109,45081,70438,46470,55509,38741,17931,39015,0,818,1164,21940,45886,69013,37718,50516,0,0,0,0,372,149,93,167,3315827,306790,362526,286328,451400,512352,233808,182203,204583,6106,280993,148286,159515,21734676,163993,59025,28559,11359,59441,59439,56332,33240,15865,2122,638,301,2283,1048,543,150,82,4,0,,305633,292233,177237,155664,160288,126194,90738,44003,14453,9833
2020-03-01 00:22:51,2001:0558:4042:000C:AA9F:ECFF:FEDA:B239,A8:9F:EC:DA:B2:39,Italian_Market,0,6715,10493,4271,3207,1559,713,1388,0,2126,3500,2526,3123,3132,714,1127,0,0,0,0,306,1,2,1,720601,138036,196776,154092,232517,283785,168425,140174,131314,44935,36695,8706,6868,247592,2645,1044,1006,1615,6120,3754,2479,2207,1029,211,153,93,2,2,0,0,0,0,0,0,137013,205981,167430,128991,115433,83843,50474,27795,6368,5795
2020-03-01 00:24:42,2001:0558:4042:0083:AA9F:ECFF:FEDA:B24D,A8:9F:EC:DA:B2:4D,South_St_Zone_2,0,199953,326630,222365,277449,244247,140172,383817,0,2093,2321,95991,182701,328344,214401,485408,0,0,0,0,3567,2348,1230,676,11628321,2185294,2656108,2474654,4135646,5673714,3501330,2546702,1904,,518690,431076,683170,23100251,812579,341862,159156,182663,208061,284277,414228,492429,526527,96062,48024,51872,8503,6060,5698,1868,1044,194,51,,2306203,3964680,2899435,1983639,1639551,1001245,546441,309185,101965,
2020-03-01 00:25:48,2001:0558:4042:0083:AA9F:ECFF:FEDA:B251,A8:9F:EC:DA:B2:51,South_St_Zone_2,0,4736,9423,4415,5119,5120,1727,861,0,38,18,556,1922,2421,746,1003,0,0,0,0,8,0,0,0,123724,49514,45531,29460,38608,38474,21545,19231,8860,12245,10585,8066,11400,13012,9188,1311,466,381,1812,1401,1235,372,136,1,3,13,16,0,0,0,0,0,0,0,57103,33580,23436,14933,14529,8981,6456,3437,1206,551
2020-03-01 00:26:29,2001:0558:4042:000C:AA9F:ECFF:FEDA:B265,A8:9F:EC:DA:B2:65,South_St_Zone_2,11,206751,295552,207786,227595,231630,120649,246104,0,692,935,44499,88001,84781,47735,105050,0,0,0,0,870,454,266,133,18351965,6828764,7702014,4446435,5098081,7231782,6300474,7728459,2015,,504982,366175,563625,612522,584955,259972,149078,109087,83812,111497,113028,119174,91712,19784,5372,2731,576,873,763,194,62,1,1,2,4840619,6886380,5396734,4030766,2268685,1063564,711096,473291,104480,
2020-03-01 00:26:58,2001:0558:4042:0060:AA9F:ECFF:FEDA:9091,A8:9F:EC:DA:90:91,Northern_Liberties,0,232735,277231,108886,95907,92152,30137,15349,0,978,754,11627,37394,39556,10897,11972,0,0,0,0,1805,2823,1881,1711,1281800,549679,618685,360346,577974,2542571,4465148,3889024,534881,22,222916,35946,41117,1155319,27583,11805,8102,9477,111820,106161,41833,26358,18402,7934,6796,11741,441,257,179,243,107,5800,3581,1112,386833,403784,272163,375924,671529,4884897,2990061,5749793,66287,46
2020-03-01 00:27:17,2001:0558:4042:0046:AA9F:ECFF:FEDA:B269,A8:9F:EC:DA:B2:69,South_St_Zone_1,0,27351,41362,21882,22976,19641,11093,27439,0,17,80,5644,7286,9259,5201,11833,0,0,0,0,497,288,148,23,4110545,1100721,1053201,669918,736113,868681,410005,274455,163965,36,77143,49510,66258,1052012,34693,11970,4664,3648,14255,16692,10932,12188,4945,752,334,333,1125,1155,920,325,47,0,0,0,752545,906366,419369,215992,165011,88305,54360,57656,23209,14782
2020-03-01 00:28:15,2001:0558:4042:0060:AA9F:ECFF:FEDA:9099,A8:9F:EC:DA:90:99,Northern_Liberties,0,11349,15810,10596,12121,9726,4782,11493,0,37,94,3497,4901,6369,3531,5872,0,0,0,0,176,51,2,0,1938896,583099,595961,387693,448305,499480,243106,119564,77281,1424,35115,23274,34493,875957,20123,7121,3243,4692,9804,9502,7837,7679,4323,487,271,158,287,255,140,33,4,0,0,0,398023,357008,233779,113556,93947,52249,30941,19566,10595,7604
2020-03-01 00:29:04,2001:0558:4042:0080:AA9F:ECFF:FEDA:909D,A8:9F:EC:DA:90:9D,Northern_Liberties,0,40298,61438,35671,37991,34674,19933,70995,0,388,370,10246,18307,31672,21718,95095,0,0,0,0,303,390,513,340,2585683,1113021,1284572,949395,1486888,1816655,1362877,1161386,834354,,134175,104548,140990,149488,166697,57435,21126,21186,45970,61329,91234,70128,40994,5263,2363,2028,986,880,746,176,24,50,6,3,847839,1227655,735371,804401,958897,551751,386086,217625,68749,5994
2020-03-01 00:29:16,2001:0558:4042:0080:AA9F:ECFF:FEDA:B271,A8:9F:EC:DA:B2:71,Northern_Liberties,0,19844,32423,14476,12446,10925,6447,20876,0,255,284,3163,6491,8794,4736,9097,0,0,0,0,164,180,122,28,1386871,434171,451674,241385,297093,368731,188959,114505,63390,1811,50236,24934,42754,3620523,26130,10753,5104,8325,10597,12791,11377,12808,11743,4296,2237,2688,894,276,158,94,285,7,0,0,231588,348870,223760,97192,78369,47220,27619,19655,10069,10105
2020-03-01 00:29:54,2001:0558:4042:0080:AA9F:ECFF:FEDA:90A1,A8:9F:EC:DA:90:A1,Northern_Liberties,0,16393,18842,9712,10399,9161,6812,635407,0,1,0,3871,5978,11388,10038,16692,0,0,0,0,2,5,25,150,1802662,825685,732763,384628,839706,853005,721566,997983,757757,18130,145708,417205,186066,378426,24210,5030,3682,564,13255,15170,7018,14953,7104,1852,286,64,8,38,78,159,266,16,1,0,704215,1344373,791402,482160,397977,313410,290012,157773,95192,8133
2020-03-01 00:31:01,2001:0558:4042:0072:AA9F:ECFF:FEDA:B2E1,A8:9F:EC:DA:B2:E1,Chestnut_Hill,1,160929,278264,243431,658285,139250,54353,92524,0,1572,1679,435220,424805,273805,99401,129626,0,0,0,0,957,604,190,108,11620393,3181953,4206089,2124478,2551786,2922053,1777659,1391055,8924,,411632,301246,489196,488324,470210,217788,111304,67446,126128,146264,175753,125614,126515,19431,2753,782,2749,2859,1319,164,149,0,0,0,2234509,3351615,2159257,903738,697290,404011,246581,142991,44785,33
2020-03-01 00:31:11,2001:0558:4042:006C:76EA:E8FF:FEF2:CBAD,74:EA:E8:F2:CB:AD,Northern_Liberties,0,452833,228119,117526,143617,47970,34243,141904,0,54071,124758,147662,223133,496013,504681,1904651,0,0,0,0,654,166,35,28,2032489,501216,645879,359222,4081320,1420028,1454613,1730473,719761,,620445,512753,410058,6913449,379634,183710,164396,263851,150779,196769,340450,466750,770250,306049,289934,430354,2763,3335,2179,405,409,108,35,0,326248,297309,339782,863513,4347408,621965,744772,397498,64387,112
2020-03-01 00:31:44,2001:0558:4042:000C:AA9F:ECFF:FEDA:B37D,A8:9F:EC:DA:B3:7D,South_St_Zone_2,0,4098,3670,1853,1786,67,44,105,0,0,0,1365,1881,2901,1076,685,0,0,0,0,0,0,0,0,113662,53573,46203,15481,14333,17449,8397,2739,1441,153,9910,6335,9479,6618,9075,1220,352,93,433,378,30,4,0,0,0,0,0,0,0,0,0,0,0,0,31527,57043,14183,3952,1454,552,220,472,137,288
2020-03-01 00:31:54,2001:0558:4042:0080:AA9F:ECFF:FEDA:911D,A8:9F:EC:DA:91:1D,Northern_Liberties,0,65428,91345,31989,24529,17387,7607,13236,0,3822,4801,10250,17807,24553,11758,23328,0,0,0,0,1893,1050,811,388,934315,434583,1239379,1130474,820105,814894,794941,648008,270059,1534,104266,72545,69665,1316660,48916,22421,11745,13537,28149,33897,38673,40722,31288,9468,3603,2249,655,647,228,176,8,0,0,0,303476,543631,542036,948546,1165254,270335,196388,112441,33418,2505
2020-03-01 00:32:50,2001:0558:4042:0080:76EA:E8FF:FEF2:CD5D,74:EA:E8:F2:CD:5D,Fishtown,0,61382,60547,27535,30319,11819,5784,14554,0,0,0,11150,17862,29873,11394,12243,0,0,0,0,169,49,62,78,3990127,1763700,1952765,1150899,1607318,1680269,1218304,783935,526340,,125192,75743,86558,59769,37821,7408,1933,1003,19606,17146,10876,8694,2778,80,39,49,358,398,338,293,21,0,0,0,1240832,1622056,680870,651436,632209,292097,216457,144698,42425,392
2020-03-01 00:33:40,2001:0558:4042:0046:AA9F:ECFF:FEDA:B3F9,A8:9F:EC:DA:B3:F9,South_St_Zone_1,0,4336023,9440090,3257527,2010551,1552381,231527,38169,0,674,777,30163,220070,83915,42822,77833,0,0,0,0,463,264,204,,9980434,3965980,3703712,1401463,1850204,2695225,1794547,1767820,79350,,2503292,3475159,1035574,288987,250884,97276,53880,47805,199406,295919,145902,83600,57373,13576,7238,8860,1060,826,485,428,191,88,24,,2197782,2522906,1359418,802279,1541137,636145,433893,311426,63229,5
2020-03-01 00:34:20,2001:0558:4042:0046:AA9F:ECFF:FEDA:B401,A8:9F:EC:DA:B4:01,Italian_Market,0,81341,135905,67572,73591,82525,49110,113618,0,330,346,14685,37007,66475,74925,115313,0,0,0,0,478,513,314,169,3045159,1018556,1155538,760533,921744,1131529,699868,379325,206809,4,224292,184114,261250,205345,196491,56734,38458,38447,46139,50720,60684,45966,40361,6685,3437,1410,941,443,939,612,366,124,0,0,543110,1222504,889566,328285,273578,157987,94708,45881,12548,1223
2020-03-01 00:34:42,2001:0558:4042:006C:76EA:E8FF:FEF2:CD65,74:EA:E8:F2:CD:65,Northern_Liberties,0,4991,5690,1907,2006,1263,937,1463,0,0,0,554,953,1808,1471,5138,0,0,0,0,0,0,0,0,360105,52182,59106,46227,73155,93910,68326,72044,46758,9380,10912,5539,7349,23238,4905,1008,443,161,3363,3666,3753,2839,1363,29,21,10,0,0,0,0,0,0,0,0,49414,62988,47507,43662,39667,29979,23553,14107,2900,1888
2020-03-01 00:35:08,2001:0558:4042:0046:AA9F:ECFF:FEDA:B585,A8:9F:EC:DA:B5:85,Italian_Market,0,122459,171987,92380,90993,80398,36100,63294,0,155,129,17582,41245,74391,49845,100252,0,0,0,0,196,84,123,467,1822173,494938,562874,495501,877595,1271379,965001,1065123,727488,110,264016,215814,224298,317495,164285,65746,35406,40284,122336,146888,106083,89534,71489,17943,11202,9719,165,363,352,556,518,106,26,24,480390,721310,647299,652358,687306,439739,279464,151440,30749,22442
2020-03-01 00:35:27,2001:0558:4042:0080:76EA:E8FF:FEF2:CD6D,74:EA:E8:F2:CD:6D,Northern_Liberties,0,73615,239408,241066,380859,450116,169835,294993,0,65,57,1409,6589,12674,4990,4728,0,0,0,0,3,22,16,11,1442849,541580,505600,277916,343277,551247,434607,347508,164638,4908,101729,94221,192421,359730,1265518,1272967,803709,420829,8204,6546,6880,7606,6531,2399,1883,1102,72,148,38,40,81,1,0,,306392,425633,340269,204015,192621,123251,71437,48776,13663,13828
